datasetName,MD,BVW_DUAL,CALI,DENS,DEPR,GAMM,LN_RHOV,NEUT,PHIT_D,RFC,RHOV,RUNSUM_DC,SONI,SSON,SSON_2,SWT_DUAL,SWT_DUAL_UNCL,TVD,VSH_GR
,FT,v/v,IN,G/C3,OHMM,GAPI,ampl,FRAC,v/v,ampl,g.m/cm3.s,ampl,US/F,US/F,US/F,v/v,v/v,FT,v/v
LQC_old,3516,-9999,-9999,-9999,-9999,108.57,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3516,-9999
LQC_old,3516.5,-9999,-9999,-9999,-9999,109.41,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3516.5,-9999
LQC_old,3517,-9999,-9999,-9999,-9999,108.5,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3517,-9999
LQC_old,3517.5,-9999,-9999,-9999,-9999,109.04,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3517.5,-9999
LQC_old,3518,-9999,-9999,-9999,-9999,106.51,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3518,-9999
LQC_old,3518.5,-9999,-9999,-9999,-9999,102.34,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3518.5,-9999
LQC_old,3519,-9999,-9999,-9999,-9999,95.79,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3519,-9999
LQC_old,3519.5,-9999,-9999,-9999,-9999,91.27,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3519.5,-9999
LQC_old,3520,-9999,-9999,-9999,-9999,88.22,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3520,-9999
LQC_old,3520.5,-9999,-9999,-9999,-9999,91.17,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3520.5,-9999
LQC_old,3521,-9999,-9999,-9999,-9999,91.92,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3521,-9999
LQC_old,3521.5,-9999,-9999,-9999,-9999,93.49,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3521.5,-9999
LQC_old,3522,-9999,-9999,-9999,-9999,89.51,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3522,-9999
LQC_old,3522.5,-9999,-9999,-9999,-9999,88.34,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3522.5,-9999
LQC_old,3523,-9999,-9999,-9999,-9999,86.01,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3523,-9999
LQC_old,3523.5,-9999,-9999,-9999,-9999,87.13,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3523.5,-9999
