$Csv,:,,02_97_DD_1X,Lam,Son,JOC,,,

Depth,DTCO3,DTSH5,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,us/ft,.,GAPI,.,in,.,g/cm3,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,v/v
1154.8872,55.836,196.5375,87.1737,224.525,12.4419,0.7591,2.0269,0.0118,0.0086,0.0066,0.0042,0.0038,0.0037,0.03,0.5843
1155.0396,55.8808,177.0671,83.1815,224.4963,12.4562,0.76,2.091,0.0117,0.0085,0.0065,0.0041,0.0037,0.0036,0.0319,0.492
1155.192,55.9603,179.7016,80.2657,224.4675,12.4494,0.7609,2.9565,0.0123,0.009,0.0068,0.0044,0.0038,0.0037,0.0319,0.4516
1155.3444,55.9974,168.3714,78.5089,224.4389,12.4578,0.7618,3.8003,0.0113,0.0083,0.0063,0.0038,0.0034,0.0033,0.033,0.4386
1155.4968,55.8697,164.8492,76.3363,224.4103,12.4628,0.7628,4.6206,0.0114,0.0084,0.0063,0.0039,0.0033,0.0032,0.0311,0.4584
1155.6492,55.8697,162.6131,72.2971,224.3818,12.4615,0.7637,3.8477,0.0123,0.0089,0.0067,0.0041,0.0035,0.0034,0.0335,0.433
1155.8016,55.8692,162.0511,71.7432,224.3534,12.4515,0.7646,3.06,0.0131,0.0094,0.0071,0.0044,0.0036,0.0034,0.0324,0.3945
1155.954,55.887,162.0983,74.1486,224.325,12.4621,0.7655,2.2445,0.0137,0.0098,0.0074,0.0046,0.0037,0.0036,0.0411,0.4047
1156.1064,55.7602,174.6568,77.5684,224.2967,12.4518,0.7664,2.1695,0.0126,0.0091,0.0068,0.0041,0.0032,0.0031,0.0376,0.4487
1156.2588,55.7497,164.2843,78.1164,224.2685,12.4562,0.7674,2.1049,0.0124,0.009,0.0067,0.0039,0.0031,0.003,0.0376,0.4904
1156.4112,55.7217,164.7061,77.1051,224.2403,12.4798,0.7683,2.0804,0.0128,0.0092,0.0069,0.0042,0.0033,0.0032,0.033,0.5109
1156.5636,55.6154,163.7266,74.3025,224.2122,12.4636,0.7692,2.0884,0.0129,0.0093,0.007,0.0042,0.0033,0.0032,0.033,0.5056
1156.716,55.6979,165.3452,74.8001,224.1842,12.451,0.7701,2.1122,0.0123,0.0089,0.0066,0.0038,0.0029,0.0029,0.0317,0.4937
1156.8684,55.6979,168.4709,77.735,224.1563,12.4712,0.7711,2.1338,0.0124,0.009,0.0067,0.0038,0.0029,0.0028,0.03,0.4887
1157.0208,55.5647,169.5928,82.0541,224.1284,12.4635,0.772,2.1438,0.0139,0.01,0.0076,0.0047,0.0036,0.0035,0.03,0.5021
1157.1732,55.7032,169.1426,83.6439,224.1006,12.4647,0.7729,2.1448,0.0128,0.0093,0.0068,0.0039,0.0029,0.0028,0.03,0.4956
1157.3256,55.8612,168.7793,84.5675,224.0728,12.4637,0.7738,2.1681,0.0117,0.0085,0.0063,0.0035,0.0027,0.0026,0.0316,0.4909
1157.478,92.0637,166.4022,85.3673,224.0451,12.4603,0.7748,2.1957,0.013,0.0094,0.007,0.004,0.0031,0.003,0.0316,0.4773
1157.6304,94.8075,166.359,87.2255,224.0175,12.4642,0.7757,2.1942,0.0113,0.0083,0.0061,0.0033,0.0026,0.0025,0.0316,0.4588
1157.7828,94.1414,166.587,85.8534,223.9899,12.4698,0.7766,2.1581,0.0124,0.0091,0.0068,0.004,0.0031,0.003,0.0315,0.4483
1157.9352,94.6188,166.7047,84.0778,223.9624,12.4701,0.7775,2.1026,0.0123,0.009,0.0067,0.0038,0.003,0.0029,0.0315,0.4531
1158.0876,92.6557,167.735,80.9917,223.935,12.4784,0.7785,2.0719,0.0117,0.0086,0.0064,0.0036,0.0028,0.0027,0.0325,0.4995
1158.24,95.9071,167.4503,79.7577,223.9076,12.4637,0.7794,2.0524,0.012,0.0087,0.0065,0.0038,0.0031,0.003,0.0308,0.5413
1158.3924,94.7042,167.4852,79.721,223.8803,12.4764,0.7803,2.0627,0.0133,0.0096,0.0073,0.0045,0.0038,0.0036,0.0323,0.5315
1158.5448,55.5791,168.1245,80.6762,223.8531,12.4694,0.7813,2.0926,0.0136,0.0098,0.0075,0.0047,0.0041,0.004,0.0323,0.4972
1158.6972,93.3954,170.0943,80.7913,223.8259,12.4827,0.7822,2.136,0.0121,0.0087,0.0067,0.0041,0.0039,0.0038,0.0323,0.5169
1158.8496,54.6115,172.7248,82.6954,223.7988,12.473,0.7831,2.1679,0.0138,0.01,0.0079,0.0053,0.0053,0.0052,0.03,0.5087
1159.002,96.1185,182.5256,84.3927,223.7718,12.4686,0.784,2.4647,0.013,0.0094,0.0075,0.0052,0.0058,0.0056,0.03,0.532
1159.1544,98.6587,188.6368,88.2897,223.7448,12.4662,0.785,3.2711,0.0124,0.0091,0.0073,0.005,0.0061,0.0059,0.0311,0.5368
1159.3068,97.6673,194.9069,89.7697,223.7179,12.4666,0.7859,3.2851,0.0138,0.0101,0.0081,0.0057,0.0066,0.0064,0.0311,0.5624
1159.4592,97.6673,200.0368,91.9126,223.691,12.4806,0.7868,2.9907,0.0134,0.0098,0.0077,0.0051,0.0053,0.0051,0.03,0.5556
1159.6116,100.476,201.4325,89.1619,223.6642,12.473,0.7877,2.1625,0.0137,0.01,0.0078,0.0051,0.0053,0.0052,0.03,0.5227
1159.764,98.4102,201.8587,85.1106,223.6375,12.4751,0.7887,2.9642,0.0127,0.0094,0.0073,0.0046,0.0047,0.0045,0.0319,0.5387
1159.9164,70.7103,206.0283,83.415,223.6109,12.4662,0.7896,3.7916,0.0128,0.0094,0.0073,0.0045,0.0047,0.0045,0.0319,0.6005
1160.0688,70.7103,201.0626,83.2217,223.5843,12.4788,0.7905,4.6288,0.0124,0.009,0.007,0.0043,0.0045,0.0044,0.0341,0.667
1160.2212,72.094,198.2815,84.0434,223.5577,12.4689,0.7915,4.6288,0.0121,0.0089,0.0069,0.0042,0.0044,0.0043,0.0319,0.6325
1160.3736,73.5514,180.0079,83.5557,223.5313,12.4778,0.7924,4.6288,0.0111,0.0082,0.0063,0.0036,0.0041,0.0039,0.0333,0.5033
1160.526,73.8124,164.8927,84.3608,223.5048,12.4754,0.7933,4.6288,0.0125,0.0091,0.007,0.0042,0.0045,0.0044,0.0333,0.4441
1160.6784,73.8124,156.1219,83.8368,223.4785,12.4738,0.7942,4.6288,0.0132,0.0095,0.0074,0.0044,0.0045,0.0044,0.0333,0.426
1160.8308,72.2272,147.9629,79.8819,223.4522,12.467,0.7952,4.6288,0.013,0.0095,0.0073,0.0043,0.0043,0.0041,0.0318,0.434
1160.9832,72.5724,143.8925,78.0376,223.426,12.4681,0.7961,4.6288,0.0117,0.0086,0.0064,0.0033,0.0033,0.0032,0.0318,0.4136
1161.1356,71.6267,138.1771,79.5476,223.3998,12.4786,0.797,4.6288,0.0114,0.0084,0.0063,0.0032,0.0032,0.0031,0.0318,0.3816
1161.288,71.1192,133.4369,84.2794,223.3737,12.464,0.798,4.6288,0.0138,0.0101,0.0079,0.0053,0.0048,0.0046,0.03,0.3596
1161.4404,71.0878,131.7673,83.9313,223.3477,12.4781,0.7989,4.6288,0.0125,0.0092,0.0073,0.0054,0.0048,0.0046,0.0327,0.3574
1161.5928,70.0516,132.2489,82.4558,223.3217,12.478,0.7998,4.6288,0.0123,0.0091,0.0073,0.0055,0.0049,0.0047,0.0327,0.3697
1161.7452,70.0583,134.4904,81.144,223.2958,12.4863,0.8008,4.6288,0.0113,0.0084,0.0068,0.0054,0.0047,0.0045,0.0327,0.3807
1161.8976,69.6393,130.6229,82.3098,223.2699,12.4936,0.8017,4.6288,0.0125,0.0092,0.0076,0.0062,0.0053,0.0051,0.03,0.3969
1162.05,66.8056,131.2591,79.2056,223.2441,12.4863,0.8026,4.6288,0.0113,0.0083,0.0069,0.0056,0.0048,0.0046,0.03,0.4275
1162.2024,68.7515,133.9611,79.4835,223.2184,12.4913,0.8035,4.2619,0.0125,0.0091,0.0075,0.0063,0.0053,0.0051,0.03,0.4467
1162.3548,68.7515,135.5742,79.2354,223.1927,12.6966,0.8045,3.6784,0.0126,0.0093,0.0077,0.0063,0.0054,0.0052,0.0329,0.4326
1162.5072,66.7942,134.9841,85.2693,223.167,12.6959,0.8054,2.937,0.013,0.0097,0.0081,0.0069,0.0058,0.0056,0.0527,0.4022
1162.6596,66.2281,135.2689,93.209,223.1415,13.4792,0.8063,2.5222,0.0332,0.0255,0.0223,0.0193,0.0163,0.0158,0.1349,0.3955
1162.812,66.2281,138.9737,98.3853,223.116,12.9364,0.8073,2.3413,0.1827,0.1476,0.1337,0.1174,0.0984,0.0283,1.4913,0.4098
1162.9644,73.5686,141.6659,104.1055,223.0905,12.9845,0.8082,2.3179,0.8929,0.5621,0.4982,0.4491,0.3797,0.1009,1.6217,0.3971
1163.1168,73.7333,149.0102,105.6416,223.0651,13.0368,0.8091,2.314,1.8074,1.2795,1.1232,1.0905,0.9852,0.6571,1.3606,0.3754
1163.2692,73.8791,151.0216,108.1997,223.0398,13.6098,0.8101,2.2775,1.9787,1.9697,1.6625,1.7316,1.7203,1.5319,0.8076,0.367
1163.4216,73.3252,151.5577,107.0042,223.0145,13.553,0.811,2.238,1.7918,1.9715,1.5929,1.6308,1.6105,1.4332,0.7135,0.3747
1163.574,72.8764,151.8669,102.6671,222.9893,13.5481,0.8119,2.2051,1.8357,2.8613,2.556,2.5953,2.5641,2.4313,0.6762,0.3906
1163.7264,73.3136,151.3543,103.4563,222.9642,13.5523,0.8129,2.1381,1.7791,3.4973,3.1307,3.5201,3.7092,4.3649,0.8512,0.3874
1163.8788,73.7707,154.6388,103.706,222.9391,13.4599,0.8138,2.0384,1.5093,2.9627,2.7173,3.2956,3.5859,4.5149,0.5403,0.3966
1164.0312,73.4313,157.282,113.8604,222.914,14.0242,0.8147,1.9573,1.2525,2.2499,2.1486,2.5208,2.6091,2.8176,0.1759,0.4084
1164.1836,76.3095,162.2333,126.0399,222.889,15.4861,0.8157,1.9259,1.0429,1.7604,1.6522,1.8639,1.8382,1.8547,0.1021,0.451
1164.336,80.8389,164.3756,139.6221,222.8641,16.7557,0.8166,1.9897,0.9186,1.5937,1.4676,1.5437,1.4089,1.313,0.0926,0.542
1164.4884,81.3924,171.1372,148.1051,222.8392,17.6912,0.8175,2.1123,0.8314,1.7714,1.5116,1.5101,1.3395,1.0217,0.1369,0.5692
1164.6408,84.9905,175.2481,149.7693,222.8144,18.0435,0.8185,2.2506,0.7813,2.0465,1.7505,1.6231,1.4082,0.8699,0.2902,0.514
1164.7932,87.2084,177.9025,152.4751,222.7897,18.1997,0.8194,2.36,0.7581,2.0762,2.1261,1.7673,1.5193,0.761,0.7172,0.4518
1164.9456,89.749,180.93,154.0314,222.765,18.3388,0.8203,2.3923,0.771,2.2211,2.9333,2.2047,1.9045,0.955,1.0272,0.4154
1165.098,95.6677,182.7052,161.9792,222.7403,18.4283,0.8213,2.4538,0.7987,2.3758,3.7393,2.5968,2.2514,1.2748,1.0721,0.4222
1165.2504,96.4273,184.6017,164.6417,222.7157,19.7224,0.8222,2.484,0.8091,2.517,4.3899,2.9747,2.6009,1.8156,1.2542,0.4041
1165.4028,96.5574,187.0581,160.8489,222.6912,18.6811,0.8231,2.3635,0.89,2.5731,4.5332,3.2123,2.8234,2.3367,0.7473,0.4092
1165.5552,96.5482,181.2076,157.6419,222.6667,18.622,0.8241,2.0316,0.9652,2.5959,4.6234,3.5209,3.1298,2.9595,0.135,0.4156
1165.7076,96.2088,178.0696,157.5366,222.6423,18.4531,0.825,1.8331,1.004,2.6473,4.8943,3.7749,3.3981,3.2866,0.073,0.4589
1165.86,94.8938,174.0631,140.7872,222.618,15.2931,0.8259,1.9404,1.0301,2.7797,4.7536,3.5295,3.2418,3.0709,0.0729,0.4707
1166.0124,95.8697,175.1411,128.172,222.5936,14.465,0.8269,2.2588,1.315,3.6268,4.1866,4.2447,4.4742,5.0984,0.1437,0.3456
1166.1648,95.7027,175.6009,111.8433,222.5694,12.2935,0.8278,2.4078,1.3509,1.9558,2.0441,2.1919,2.4818,2.9459,0.6325,0.2798
1166.3172,95.1476,176.9252,112.2062,222.5452,12.1784,0.8287,2.3861,1.2043,1.0646,1.0995,1.1725,1.3076,1.2884,0.6749,0.2698
1166.4696,93.8228,176.1824,117.9228,222.521,12.1388,0.8297,2.305,0.7506,0.7936,0.8391,0.8903,0.9945,1.1465,0.4811,0.2876
1166.622,93.4688,175.505,121.0768,222.4969,12.1174,0.8306,2.2634,0.6675,0.746,0.7945,0.8456,0.9499,1.101,0.394,0.2872
1166.7744,93.3892,175.6315,118.3476,222.4729,12.1156,0.8315,2.2557,0.6296,0.7235,0.7728,0.8229,0.9252,1.0848,0.3605,0.2836
