datasetName,TWT,BVW_DUAL,CALI,DENS,DEPR,GAMM,LN_RHOV,NEUT,PHIT_D,RFC,RHOV,RUNSUM_DC,SONI,SSON,SSON_2,SWT_DUAL,SWT_DUAL_UNCL,TVD,VSH_GR
,ms,v/v,IN,G/C3,OHMM,GAPI,ampl,FRAC,v/v,ampl,g.m/cm3.s,ampl,US/F,US/F,US/F,v/v,v/v,FT,v/v
GQC_old,1239,-9999,-9999,-9999,-9999,106.6662,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3793,-9999
GQC_old,1240,-9999,-9999,-9999,-9999,111.3408,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3796.5,-9999
GQC_old,1241,-9999,-9999,-9999,-9999,109.0331,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3800,-9999
GQC_old,1242,-9999,-9999,-9999,-9999,108.44,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3803,-9999
GQC_old,1243,-9999,-9999,-9999,-9999,110.2692,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3806.5,-9999
GQC_old,1244,-9999,-9999,-9999,-9999,109.1162,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3809.5,-9999
GQC_old,1245,-9999,-9999,-9999,-9999,107.6046,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3813,-9999
GQC_old,1246,-9999,-9999,-9999,-9999,109.2738,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3816,-9999
GQC_old,1247,-9999,-9999,-9999,-9999,107.6885,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3819.5,-9999
GQC_old,1248,-9999,-9999,-9999,-9999,106.7354,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3823,-9999
GQC_old,1249,-9999,-9999,-9999,-9999,111.6238,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3826,-9999
GQC_old,1250,-9999,-9999,-9999,-9999,109.0569,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3829.5,-9999
GQC_old,1251,-9999,-9999,-9999,-9999,107.1254,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3832.5,-9999
GQC_old,1252,-9999,-9999,-9999,-9999,111.04,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3836,-9999
GQC_old,1253,-9999,-9999,-9999,-9999,108.0423,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3839,-9999
